INFO 2025-10-21 07:25:50,586 autoreload 30596 35496 Watching for file changes with StatReloader
INFO 2025-10-21 16:39:55,895 basehttp 8716 24280 "OPTIONS /api/chatbot/active/ HTTP/1.1" 200 0
WARNING 2025-10-21 16:39:55,916 log 8716 24280 Not Found: /api/chatbot/active/
WARNING 2025-10-21 16:39:55,921 basehttp 8716 24280 "GET /api/chatbot/active/ HTTP/1.1" 404 36
INFO 2025-10-21 16:44:39,892 basehttp 8716 24608 "OPTIONS /api/users/auth/me/ HTTP/1.1" 200 0
INFO 2025-10-21 16:44:39,910 basehttp 8716 24608 "GET /api/users/auth/me/ HTTP/1.1" 200 325
INFO 2025-10-21 16:44:40,015 basehttp 8716 24608 "OPTIONS /api/users/users/?page=1&page_size=10 HTTP/1.1" 200 0
INFO 2025-10-21 16:44:40,019 basehttp 8716 24608 "OPTIONS /api/users/users/stats/ HTTP/1.1" 200 0
INFO 2025-10-21 16:44:40,061 basehttp 8716 24608 "GET /api/users/users/?page=1&page_size=10 HTTP/1.1" 200 14620
INFO 2025-10-21 16:44:40,087 basehttp 8716 24608 "GET /api/users/users/stats/ HTTP/1.1" 200 111
INFO 2025-10-21 16:44:40,120 basehttp 8716 24608 "GET /api/users/users/?page=1&page_size=10 HTTP/1.1" 200 14620
INFO 2025-10-21 16:44:40,124 basehttp 8716 24608 "OPTIONS /api/courses/departments/ HTTP/1.1" 200 0
INFO 2025-10-21 16:44:40,170 basehttp 8716 24608 "GET /api/users/users/stats/ HTTP/1.1" 200 111
INFO 2025-10-21 16:44:40,184 basehttp 8716 22520 "GET /api/courses/departments/ HTTP/1.1" 200 830
INFO 2025-10-21 16:44:40,212 basehttp 8716 24608 "GET /api/courses/departments/ HTTP/1.1" 200 830
INFO 2025-10-21 16:44:44,280 basehttp 8716 24608 "OPTIONS /api/users/users/?page=1&page_size=10&is_active=true HTTP/1.1" 200 0
INFO 2025-10-21 16:44:44,305 basehttp 8716 24608 "GET /api/users/users/?page=1&page_size=10&is_active=true HTTP/1.1" 200 14635
INFO 2025-10-21 16:44:46,461 basehttp 8716 24608 "OPTIONS /api/users/users/?page=1&page_size=10&is_active=false HTTP/1.1" 200 0
INFO 2025-10-21 16:44:46,479 basehttp 8716 24608 "GET /api/users/users/?page=1&page_size=10&is_active=false HTTP/1.1" 200 52
INFO 2025-10-21 16:44:48,435 basehttp 8716 24608 "GET /api/users/users/?page=1&page_size=10&is_active=true HTTP/1.1" 200 14635
INFO 2025-10-21 16:44:50,184 basehttp 8716 24608 "OPTIONS /api/users/users/?page=1&page_size=5&is_active=true HTTP/1.1" 200 0
INFO 2025-10-21 16:44:50,225 basehttp 8716 24608 "GET /api/users/users/?page=1&page_size=5&is_active=true HTTP/1.1" 200 14634
INFO 2025-10-21 16:44:54,714 basehttp 8716 24608 "OPTIONS /api/users/users/?page=2&page_size=5&is_active=true HTTP/1.1" 200 0
INFO 2025-10-21 16:44:54,768 basehttp 8716 24608 "GET /api/users/users/?page=2&page_size=5&is_active=true HTTP/1.1" 200 14810
INFO 2025-10-21 16:44:58,956 basehttp 8716 24608 "GET /api/users/users/?page=1&page_size=5&is_active=true HTTP/1.1" 200 14634
INFO 2025-10-21 16:45:05,229 basehttp 8716 24608 "OPTIONS /api/users/users/?page=1&page_size=5&role=student&is_active=true HTTP/1.1" 200 0
INFO 2025-10-21 16:45:05,271 basehttp 8716 24608 "GET /api/users/users/?page=1&page_size=5&role=student&is_active=true HTTP/1.1" 200 14740
INFO 2025-10-21 16:45:07,277 basehttp 8716 24608 "OPTIONS /api/users/users/?page=1&page_size=5&role=teacher&is_active=true HTTP/1.1" 200 0
INFO 2025-10-21 16:45:07,318 basehttp 8716 24608 "GET /api/users/users/?page=1&page_size=5&role=teacher&is_active=true HTTP/1.1" 200 14647
INFO 2025-10-21 16:45:12,009 basehttp 8716 24608 "OPTIONS /api/users/users/?page=1&page_size=5&role=staff&is_active=true HTTP/1.1" 200 0
INFO 2025-10-21 16:45:12,032 basehttp 8716 24608 "GET /api/users/users/?page=1&page_size=5&role=staff&is_active=true HTTP/1.1" 200 52
INFO 2025-10-21 16:45:21,811 basehttp 8716 24608 "OPTIONS /api/users/auth/me/ HTTP/1.1" 200 0
INFO 2025-10-21 16:45:21,824 basehttp 8716 24608 "GET /api/users/auth/me/ HTTP/1.1" 200 325
INFO 2025-10-21 16:45:22,058 basehttp 8716 24608 "GET /api/users/users/?page=1&page_size=10 HTTP/1.1" 200 14620
INFO 2025-10-21 16:45:22,085 basehttp 8716 22520 "GET /api/users/users/stats/ HTTP/1.1" 200 111
INFO 2025-10-21 16:45:22,153 basehttp 8716 34264 "GET /api/users/users/?page=1&page_size=10 HTTP/1.1" 200 14620
